Rank,Title,Title_Chinese,Title_English,Title_Japanese,Composite_Score,Confidence,Total_Votes,Website_Count,Percentile,Type,Episodes,Start_Date,Studios,Genres,ANILIST_Score,ANILIST_Votes,ANILIST_Rank,BANGUMI_Score,BANGUMI_Votes,BANGUMI_Rank,DOUBAN_Score,DOUBAN_Votes,DOUBAN_Rank,FILMARKS_Score,FILMARKS_Votes,FILMARKS_Rank,IMDB_Score,IMDB_Votes,IMDB_Rank,MAL_Score,MAL_Votes,MAL_Rank
26,Ginga Tokkyuu Milky☆Subway,银河特急 银河☆地铁,Milky☆Subway: The Galactic Limited Express,銀河特急 ミルキー☆サブウェイ,0.312,0.354,1538,4,61.53846153846154,,12,2025-07-03,"Shin-Ei Animation, qooop","Adventure, Comedy, Fantasy, Sci-Fi",6.7,261,32,6.8,168,23,,,,8.8,348,4,8.1,25,10,7.08,761,32
27,"Watashi ga Koibito ni Nareru Wake Naijan, Murimuri! (※Muri ja Nakatta!?)",我怎么可能成为你的恋人，不行不行！(※不是不可能！？),There's No Freaking Way I'll Be Your Lover! Unless...,わたしが恋人になれるわけないじゃん、ムリムリ! (※ムリじゃなかった!?),0.251,0.675,11210,6,60.0,TV,12,2025-07-08,"studio MOTHER, Shueisha DeNA Projects, Shueisha, REMOW","Comedy, Romance",7.4,2082,22,7.2,2401,11,8.4,917,9,8.2,251,15,7.4,143,24,6.17,5416,57
28,Tate no Yuusha no Nariagari Season 4,盾之勇者成名录 第四季,The Rising of the Shield Hero Season 4,盾の勇者の成り上がり Season 4,0.105,0.628,33266,5,58.46153846153847,TV,12,2025-07-09,"KADOKAWA, Kinema Citrus, Crunchyroll, Sammy, Nippon Columbia, NTT Docomo, Good Smile Company, AT-X, Frontier Works","Action, Adventure, Fantasy",7.0,2129,28,5.4,236,44,,,,7.8,229,29,7.7,21268,19,7.25,9404,27
29,Jigoku Sensei Nube (2025),地狱老师 OVA,Hell Teacher: Jigoku Sensei Nube,地獄先生ぬ～べ～,0.043,0.311,5460,3,56.92307692307692,TV,,2025-07-02,Studio Kai,"Comedy, Horror, Mythology, School, Shounen, Supernatural",7.2,1037,25,6.8,23,24,,,,8.0,2413,20,7.4,49,25,6.66,2010,44
30,Bad Girl,不良少女,Bad Girl,ばっどがーる,0.017,0.592,18246,5,55.38461538461539,ONA,12,2025-07-06,"Bridge, King Records","Comedy, Romance",6.6,911,37,6.7,1141,26,7.9,13174,16,7.6,192,31,7.1,40,34,6.78,2828,38
31,Tsuihousha Shokudou e Youkoso!,欢迎光临流放者食堂！,Welcome to the Outcast's Restaurant!,追放者食堂へようこそ！,-0.025,0.537,7410,5,53.84615384615385,TV,12,2025-07-04,"Avex Pictures, OLM, AT-X, OVERLAP, BS11, CBC TV, HIKE, TOKYO MX, OLM, Bit Grooove Promotion, KLOCKWORX, MAGNET","Adventure, Comedy, Fantasy, Slice of Life",6.7,1172,33,5.8,485,35,,,,7.4,273,34,7.9,102,14,7.18,5378,30
32,Puniru wa Kawaii Slime 2nd Season,噗妮露是可爱史莱姆 第二季,Puniru is a Kawaii Slime Season 2,ぷにるはかわいいスライム 第2期,-0.096,0.441,1505,5,52.307692307692314,TV,12,2025-07-06,"TOHO animation STUDIO, Toho, TV Tokyo, Shogakukan, Shogakukan-Shueisha Productions","Comedy, Fantasy, Romance, Slice of Life",6.2,169,46,7.4,644,9,,,,8.4,52,8,5.4,114,62,6.99,526,33
33,GaCen Shoujo to Ibunka Kouryuu,与游戏中心的少女异文化交流的故事,Cultural Exchange with a Game Centre Girl,ゲーセン少女と異文化交流,-0.153,0.636,6568,6,50.76923076923077,TV,12,2025-07-06,"Nomad, KADOKAWA, Taito, NTT Docomo, BS Asahi, AT-X","Comedy, Romance",6.4,943,40,6.9,1526,21,6.6,173,26,7.4,147,35,7.8,89,15,6.76,3690,40
34,Game Center Shoujo to Ibunka Kouryuu,与游戏中心的少女异文化交流的故事,Cultural Exchange With a Game Centre Girl,ゲーセン少女と異文化交流,-0.153,0.636,6568,6,49.23076923076923,TV,12,2025-07-06,Nomad,"Comedy, Love Status Quo, Romance",6.4,943,41,6.9,1526,22,6.6,173,27,7.4,147,36,7.8,89,16,6.76,3690,41
35,Utagoe wa Mille-Feuille,歌声是千层派,Harmony of Mille-Feuille,うたごえはミルフィーユ,-0.224,0.794,524265,5,47.69230769230769,TV,10,2025-07-17,Jumondou,"Music, School",5.3,130,60,5.4,344,45,,,,7.0,80,41,8.5,523328,4,6.07,383,61
36,Mattaku Saikin no Tantei to Kitara,最近的侦探真没用,Detectives These Days Are Crazy!,まったく最近の探偵ときたら,-0.264,0.646,7504,6,46.15384615384615,TV,12,2025-07-01,"KADOKAWA, LIDENFILMS, Ultra Super Pictures, BS11, AT-X, Culture Entertainment","Comedy, Mystery",6.7,1151,34,6.5,845,28,6.7,303,25,7.4,247,37,6.0,153,58,7.14,4805,31
37,Arknights: Rise from Ember,明日方舟：焰烬曙明,Arknights: Rise from Ember,アークナイツ【焔燼曙明/RISE FROM EMBER】,-0.347,0.476,2687,5,44.61538461538462,TV,10,2025-07-04,Yostar Pictures,"Action, Fantasy",7.3,495,24,6.3,228,29,,,,3.6,50,64,5.5,75,61,7.68,1839,20
38,Zutaboro Reijou wa Ane no Moto Konyakusha ni Dekiai Sareru,衣衫褴褛的大小姐受到姐姐前未婚夫的宠爱,Betrothed to My Sister's Ex,ずたぼろ令嬢は姉の元婚約者に溺愛される,-0.352,0.523,5816,5,43.07692307692308,TV,12,2025-07-05,"LandQ studios, Mainichi Broadcasting System, TBS","Drama, Fantasy, Romance",6.9,951,29,4.7,88,59,,,,6.4,170,52,7.0,118,38,7.24,4489,28
39,Isekai Mokushiroku Mynoghra: Hametsu no Bunmei de Hajimeru Sekai Seifuku,异世界默示录米诺戈拉 ～从灭亡的文明开始的世界征服～,Apocalypse Bringer Mynoghra: World Conquest Starts with the Civilization of Ruin,異世界黙示録マイノグーラ ～破滅の文明で始める世界征服～,-0.422,0.562,11038,5,41.53846153846154,TV,12,2025-07-06,"Maho Film, Happinet Media Marketing, Maho Film, Asmik Ace, Micro Magazine Sha, arma bianca, Bandai Namco Music Live, BS Nittele, KLOCKWORX","Action, Adventure, Comedy, Drama, Fantasy, Romance",6.7,1791,35,5.5,290,40,,,,6.0,94,58,7.1,218,35,6.94,8645,35
40,Kakkou no Iinazuke Season 2,杜鹃的婚约 第二季,A Couple of Cuckoos Season 2,カッコウの許嫁 Season2,-0.442,0.543,8135,5,40.0,TV,12,2025-07-08,"KADOKAWA, Okuruto Noboru, Kodansha, Crunchyroll, BS Nittele, Bit Grooove Promotion, Okuruto Noboru","Comedy, Romance",6.6,999,38,5.1,166,51,,,,7.0,170,42,6.8,2415,44,6.94,4385,36
41,Leviathan,利维坦号战记,Leviathan,リヴァイアサン,-0.459,0.593,3610,6,38.46153846153847,ONA,12,2025-07-10,"Orange, Qubic Pictures","Adventure, Mecha, Sci-Fi",6.6,607,39,4.9,67,54,6.8,240,24,7.8,182,30,6.6,486,49,6.9,2028,37
42,Mizu Zokusei no Mahoutsukai,水属性的魔法师,The Water Magician,水属性の魔法使い,-0.517,0.711,18418,6,36.92307692307693,TV,,2025-07-04,"Typhoon Graphics, WonderLand","Adult Cast, Adventure, Fantasy, Isekai, Reincarnation",6.8,3055,31,5.4,555,46,5.6,223,32,6.4,237,53,7.0,431,39,7.19,13917,29
43,Dekin no Mogura,禁止出入的鼹鼠,Dekin no Mogura: The Earthbound Mole,出禁のモグラ,-0.542,0.583,3163,6,35.38461538461539,TV,12,2025-07-07,Brain's Base,"Comedy, Mystery, Seinen, Supernatural",5.8,498,56,5.9,222,33,7.0,195,22,8.0,385,21,7.3,63,28,6.17,1800,58
44,Osomatsu-san 4th Season,阿松 第四季,Mr. Osomatsu 4th Season,おそ松さん 第4期,-0.588,0.344,1258,4,33.84615384615385,TV,13,2025-07-09,Pierrot Films,"Adult Cast, Comedy, Gag Humor, Parody",4.8,63,62,5.5,37,41,,,,7.6,269,32,7.4,509,26,6.58,417,46
45,Tougen Anki,桃源暗鬼,TOUGEN ANKI,桃源暗鬼,-0.588,0.684,12629,6,32.30769230769231,TV,24,2025-07-11,"Pony Canyon, Studio Hibari, Dentsu, Nippon Television Network, Akita Shoten, Studio Hibari","Action, Mystery, Supernatural",6.7,1994,36,4.9,150,55,5.7,236,30,7.2,687,38,6.8,622,45,6.97,8940,34
46,Fermat no Ryouri,费马的料理,Fermat Kitchen,フェルマーの料理,-0.597,0.48,2840,5,30.76923076923077,TV,12,2025-07-05,"SKY Perfect Pictures, TV Asahi, domerica","Drama, Slice of Life",6.3,426,42,4.8,227,56,,,,7.0,173,43,7.2,347,29,6.66,1667,45
47,SUGAR SUGAR RUNE: Les deux sorcières,,Sugar Sugar Rune: Les deux sorcières,SUGAR SUGAR RUNE: Les deux sorcières,-0.631,0.148,458,2,29.230769230769234,Special,1,2025-07-04,Studio Khara,"Fantasy, Mahou Shoujo",6.3,143,43,5.7,22,38,,,,6.4,3,54,,,,6.77,315,39
48,Yami Shibai 15,暗芝居 第十五季,Theatre of Darkness: Yamishibai 15,闇芝居 十五期,-0.643,0.266,1543,3,27.692307692307693,TV,,2025-07-14,ILCA,"Avant Garde, Horror, Supernatural",,,,4.8,12,57,,,,7.0,315,44,7.0,1024,40,5.95,204,63
49,Koujo Denka no Kateikyoushi,公爵千金的家庭教师,Private Tutor to the Duke's Daughter,公女殿下の家庭教師,-0.739,0.535,7062,5,26.153846153846157,TV,12,2025-07-06,Studio Blanc.,Fantasy,6.2,1219,47,5.8,588,36,,,,5.8,118,61,6.6,132,50,6.54,5005,47
50,Turkey!,保龄球少女！,Turkey! Time to Strike,Turkey!,-0.805,0.396,3628,4,24.615384615384617,TV,12,2025-07-09,Bakken Record,"Historical, Sports, Time Travel",5.8,648,57,5.5,886,42,,,,7.6,213,33,6.2,35,55,6.15,1881,60
51,Tsuyokute New Saga,强者的新传说,New Saga,強くてニューサーガ,-0.821,0.538,7463,5,23.076923076923077,TV,12,2025-07-03,"ABC Animation, Sotsu, Studio Massket, Studio Clutch, AlphaPolis, ANICI, Sotsu, Bandai Namco Music Live, Bushiroad, Pia, KLOCKWORX, TOKYO MX, Exa International, Toei Video","Adventure, Fantasy",6.3,1277,44,5.4,205,47,,,,5.4,102,62,6.4,198,51,6.67,5681,43
52,Futari Solo Camp,双人单身露营,Solo Camping for Two,ふたりソロキャンプ,-0.826,0.503,4162,5,21.53846153846154,TV,24,2025-07-11,"SynergySP, Pony Canyon, Kodansha, Crunchyroll, BS Asahi",Slice of Life,6.1,852,49,5.5,207,43,,,,6.2,149,55,6.3,51,54,6.53,2903,48
53,Busu ni Hanataba wo.,为丑女献上花束。,April Showers Bring May Flowers,ブスに花束を。,-0.832,0.495,3640,5,20.0,TV,13,2025-07-04,"SILVER LINK., Mainichi Broadcasting System, VAP, Marvelous, SILVER LINK., BS Nittele, TOKYO MX","Comedy, Romance",6.3,602,45,5.2,199,49,5.9,211,29,6.6,231,48,7.2,36,30,6.73,2397,42
54,Cardfight!! Vanguard: Divinez Deluxe Kesshou-hen,,CARDFIGHT!! VANGUARD Divinez DELUXE Finals,カードファイト!! ヴァンガード Divinez デラックス決勝編,-0.845,0.056,103,1,18.461538461538463,TV,,2025-07-05,"Kinema Citrus, GIFTanimation, Studio Jemi","Action, Strategy Game",,,,,,,,,,2.0,3,65,5.9,19,59,6.53,103,49
55,Hotel Inhumans,杀手旅店,Hotel Inhumans,ホテル・インヒューマンズ,-0.859,0.484,3040,5,16.923076923076923,TV,13,2025-07-06,Bridge,"Action, Drama, Organized Crime",6.0,561,52,5.3,181,48,,,,6.0,184,59,6.8,65,46,6.5,2049,51
56,Jidou Hanbaiki ni Umarekawatta Ore wa Meikyuu wo Samayou 2nd Season,转生成自动贩卖机的我今天也在迷宫徘徊 第二季,"Reborn as a Vending Machine, I Now Wander the Dungeon Season 2",自動販売機に生まれ変わった俺は迷宮を彷徨う 2nd Season,-0.864,0.529,6429,5,15.384615384615385,TV,12,2025-07-02,"Studio Gokumi, AXsiZ, Nippon Television Network, Yomiuri TV Enterprise, ANICI, Docomo Anime Store, VAP, Nittele Wands, BS Nittele","Adventure, Comedy, Fantasy",6.2,993,48,5.0,145,52,,,,6.6,119,49,6.2,1076,56,6.53,4096,50
57,Binan Koukou Chikyuu Bouei-bu Haikara!,美男高校地球防卫部High collar！,Cute High Earth Defense Club Hi-CARA!,美男高校地球防衛部ハイカラ！,-0.875,0.142,352,2,13.846153846153847,TV,12,2025-07-07,Studio Deen,"Comedy, Fantasy, Historical, Parody, School, Super Power",,,,5.2,14,50,,,,6.6,42,50,7.1,150,36,6.02,202,62
58,Koisuru One Piece Zenyasai Tokubetsu-hen,,One Piece in Love Festival Eve Special,恋するワンピース前夜祭特別編,-0.879,0.261,1359,3,12.307692307692308,ONA,1,2025-08-09,Toei Animation,"Comedy, Parody, Romance, Shounen",5.7,117,58,,,,,,,7.0,951,45,,,,6.23,291,56
59,"Kanojo, Okarishimasu 4th Season",租借女友 第四季,Rent-a-Girlfriend Season 4,彼女、お借りします 第4期,-0.914,0.597,19802,5,10.76923076923077,TV,12,2025-07-05,TMS Entertainment,"Adult Cast, Comedy, Harem, Romance, Shounen",6.0,1610,53,3.5,293,63,,,,8.4,249,9,6.8,10576,47,6.16,7074,59
60,Busamen Gachi Fighter,肥宅勇者,"Uglymug, Epicfighter",ブサメンガチファイター,-0.982,0.639,6781,6,9.230769230769232,TV,12,2025-07-06,"WHITE FOX, Nippon Columbia, bilibili, VAP, KLOCKWORX, EGG FIRM","Adventure, Fantasy",6.1,976,50,5.6,520,39,5.7,260,31,6.2,143,56,6.4,123,52,6.39,4759,52
61,Nyaight of the Living Cat,活死喵之夜,Nyaight of the Living Cat,ニャイト・オブ・ザ・リビングキャット,-1.043,0.606,4306,6,7.6923076923076925,TV,12,2025-07-08,OLM,"Action, Horror, Shounen, Survival, Suspense",6.0,659,54,5.0,236,53,6.0,218,28,6.6,230,51,6.4,158,53,6.26,2805,55
62,"Yuusha Party wo Tsuihou Sareta Shiro Madoushi, S Rank Boukensha ni Hirowareru: Kono Shiro Madoushi ga Kikakugaisugiru",被驱逐出勇者队伍的白魔导师， 被S级冒险者捡到,Scooped Up by an S-Rank Adventurer!,勇者パーティーを追放された白魔導師、Sランク冒険者に拾われる ～この白魔導師が規格外すぎる～,-1.112,0.543,8058,5,6.153846153846154,ONA,,2025-07-06,"Felix Film, Yomiuri TV Enterprise, Futabasha, Happinet Media Marketing, Docomo Anime Store, Bandai Namco Music Live, JIN, BS Fuji, Jinnan Studio, Ray","Action, Adventure, Fantasy",6.1,1323,51,4.5,253,61,,,,6.0,166,60,6.1,128,57,6.36,6188,53
63,Watari-kun no xx ga Houkai Sunzen,渡君的XX即将崩坏,Watari-kun's ****** Is about to Collapse,渡くんの××が崩壊寸前,-1.271,0.532,6720,5,4.615384615384616,TV,13,2025-07-05,Staple Entertainment,"Comedy, Drama, Romance, School, Seinen",5.9,1192,55,4.7,273,60,,,,5.2,62,63,5.8,151,60,6.34,5042,54
64,9: Ruler's Crown,9-nine- 支配者的王冠,,9-nine- Ruler's Crown,-1.336,0.362,1807,4,3.076923076923077,TV,13,2025-07-05,PRA,"Mystery, Romance, School, Super Power",5.3,284,61,4.8,545,58,,,,7.0,99,46,6.8,21,48,5.8,879,65
65,Kizu darake Seijo yori Houfuku wo Komete,黑化吧！圣女大人,"With Vengeance, Sincerely, Your Broken Saintess",傷だらけ聖女より報復をこめて,-1.595,0.364,1894,4,1.5384615384615385,TV,,2025-07-10,"Imagica Infos, Imageworks Studio","Fantasy, Romance",5.4,243,59,4.0,71,62,,,,6.2,73,57,3.6,5,63,5.83,1507,64
