Rank,Title,Title_English,Title_Japanese,Type,Episodes,Start_Date,Studios,Genres,Composite_Score,Confidence,Total_Votes,Website_Count,ANILIST_Score,ANILIST_Votes,BANGUMI_Score,BANGUMI_Votes,DOUBAN_Score,DOUBAN_Votes,FILMARKS_Score,FILMARKS_Votes,IMDB_Score,IMDB_Votes,MAL_Score,MAL_Votes
17,Gachiakuta,Gachiakuta,ガチアクタ,TV,24,2025-07-06,"bones, Avex Pictures, bones film, Kodansha, DMM.com, CBC TV, Dentsu, Com2uS","Action, Drama, Fantasy",0.509398,0.77254,43175,6,7.8,6168,5.8,415,6.9,568,7.8,1103,8.2,3179,8.05,31742
18,SAKAMOTO DAYS Part 2,SAKAMOTO DAYS Part 2,SAKAMOTO DAYS 第２クール,ONA,11,2025-07-15,TMS Entertainment,"Action, Comedy",0.502409,0.747224,30432,6,7.7,3053,6.0,320,7.9,522,7.8,1038,7.4,10603,7.91,14896
19,"Food Court de, Mata Ashita.",See You Tomorrow at the Food Court,フードコートで、また明日。,TV,6,2025-07-07,"Atelier Pontdarc, KADOKAWA, Movic, BS Nittele, AT-X, TOKYO MX, Toy's Factory, Sun Television","Comedy, Slice of Life",0.497542,0.685707,13008,6,7.3,2515,7.4,2875,7.7,564,7.8,497,7.0,63,7.54,6494
20,Jibaku Shounen Hanako-kun 2 Part 2,Toilet-Bound Hanako-kun Season 2 Part 2,地縛少年花子くん２ 後編,TV,,2025-07-06,"Lerche, TBS, Pony Canyon, Square Enix, Crunchyroll, Movic, Contents Seed, Studio Hibari","Action, Comedy, Drama, Mystery, Supernatural",0.490853,0.651886,8152,6,7.6,752,6.1,319,7.8,374,7.8,160,7.5,3393,7.97,3154
21,"Tensei Shitara Dai Nana Ouji Dattanode, Kimamani Majutsu wo Kiwamemasu 2nd Season",I Was Reincarnated as the 7th Prince so I Can Take My Time Perfecting My Magical Ability Season 2,転生したら第七王子だったので、気ままに魔術を極めます 第2期,TV,12,2025-07-10,"Tsumugi Akita Anime Lab, Bandai Namco Filmworks, Kodansha, Crunchyroll, TV Tokyo, Bandai Namco Music Live, ADK Marketing Solutions","Action, Adventure, Fantasy, Slice of Life",0.479525,0.571686,13065,5,7.5,1953,6.9,526,,,8.0,396,6.8,2129,7.61,8061
22,Nukitashi THE ANIMATION,Nukitashi THE ANIMATION,ぬきたし THE ANIMATION,TV,11,2025-07-19,"KADOKAWA, Passione, Yostar, AT-X, Qruppo","Action, Comedy, Drama, Ecchi, Romance",0.452909,0.794625,58579,6,6.8,1101,7.8,3406,7.6,1112,8.8,111,6.9,259,7.33,52590
23,"Mikadono Sanshimai wa Angai, Choroi.",Dealing with Mikadono Sisters Is a Breeze,帝乃三姉妹は案外、チョロい。,TV,12,2025-07-10,"Aniplex, P.A.WORKS, Mainichi Broadcasting System, SANKYO, JR Higashi Nihon Kikaku, Shogakukan, arma bianca, TOKYO MX, BS11, Movic","Comedy, Romance",0.389092,0.554072,9756,5,7.4,1720,6.5,462,,,7.0,271,7.7,223,7.63,7080
24,Ame to Kimi to,With You and the Rain,雨と君と,TV,12,2025-07-06,"Lesprit, NBCUniversal Entertainment Japan, BS Asahi, TV Asahi","Comedy, Slice of Life",0.38832,0.642475,7158,6,7.1,1038,6.9,611,8.1,482,7.8,536,7.1,132,7.45,4359
25,Karaoke Iko!,Let's Go Karaoke!,カラオケ行こ！,TV,5,2025-07-24,"Doga Kobo, KADOKAWA","Comedy, Music",0.365296,0.656166,53014,6,7.0,374,6.7,104,7.7,50387,8.2,691,8.2,39,7.62,1458
26,Ginga Tokkyuu Milky☆Subway,Milky☆Subway: The Galactic Limited Express,銀河特急 ミルキー☆サブウェイ,,12,2025-07-03,"Shin-Ei Animation, qooop","Adventure, Comedy, Fantasy, Sci-Fi",0.354021,0.354138,1538,5,6.7,261,6.8,168,,,8.8,348,8.1,25,7.08,761
27,"Watashi ga Koibito ni Nareru Wake Naijan, Murimuri! (※Muri ja Nakatta!?)",There's No Freaking Way I'll Be Your Lover! Unless...,わたしが恋人になれるわけないじゃん、ムリムリ! (※ムリじゃなかった!?),TV,12,2025-07-08,"studio MOTHER, Shueisha DeNA Projects, Shueisha, REMOW","Comedy, Romance",0.288802,0.674941,11210,6,7.4,2082,7.2,2401,8.4,917,8.2,251,7.4,143,6.17,5416
28,Tate no Yuusha no Nariagari Season 4,The Rising of the Shield Hero Season 4,盾の勇者の成り上がり Season 4,TV,12,2025-07-09,"KADOKAWA, Kinema Citrus, Crunchyroll, Sammy, Nippon Columbia, NTT Docomo, Good Smile Company, AT-X, Frontier Works","Action, Adventure, Fantasy",0.109081,0.628057,33266,5,7.0,2129,5.4,236,,,7.8,229,7.7,21268,7.25,9404
