排名,标题,英文标题,日文标题,综合评分,置信度,总投票数,网站数量,百分位数,类型,集数,开播日期,制作公司,类型标签,anilist_评分,anilist_投票数,anilist_排名,bangumi_评分,bangumi_投票数,bangumi_排名,filmarks_评分,filmarks_投票数,filmarks_排名,imdb_评分,imdb_投票数,imdb_排名,mal_评分,mal_投票数,mal_排名
66,Tsuyokute New Saga,New Saga,強くてニューサーガ,-0.875,0.529,6444,5,14.5,TV,12.0,2025-07-03,"ABC Animation, Sotsu, Studio Massket, Studio Clutch, AlphaPolis, ANICI, Sotsu, Bandai Namco Music Live, Bushiroad, Pia, KLOCKWORX, TOKYO MX, Exa International, Toei Video","Adventure, Fantasy",6.3,1116.0,52.0,5.4,176.0,56.0,5.2,88,73,6.6,155.0,62.0,6.69,4909,53
67,Jidou Hanbaiki ni Umarekawatta Ore wa Meikyuu wo Samayou 2nd Season,"Reborn as a Vending Machine, I Now Wander the Dungeon Season 2",自動販売機に生まれ変わった俺は迷宮を彷徨う 2nd Season,-0.897,0.521,5610,5,13.2,TV,,2025-07-02,"Studio Gokumi, AXsiZ, Nippon Television Network, Yomiuri TV Enterprise, ANICI, Docomo Anime Store, VAP, Nittele Wands, BS Nittele","Adventure, Comedy, Fantasy",6.2,809.0,55.0,5.1,129.0,61.0,6.6,102,56,6.3,1045.0,69.0,6.6,3525,60
68,Nyaight of the Living Cat,Nyaight of the Living Cat,ニャイト・オブ・ザ・リビングキャット,-0.921,0.494,3583,5,11.8,ONA,12.0,2025-07-06,"Sony Pictures Entertainment, OLM, Crunchyroll, CyberAgent, Mag Garden, Animax Broadcast Japan, MediaNet, Warner Music Japan, OLM, 81 Produce, Slow Curve",Horror,6.1,591.0,61.0,5.1,208.0,62.0,6.8,206,53,6.5,135.0,66.0,6.33,2443,67
69,"Yuusha Party wo Tsuihou sareta Shiromadoushi, S-Rank Boukensha ni Hirowareru: Kono Shiromadoushi ga Kikakugai Sugiru",Scooped Up by an S-Ranked Adventurer,勇者パーティーを追放された白魔導師、Sランク冒険者に拾われる ～この白魔導師が規格外すぎる～,-0.93,0.531,6642,5,10.5,TV,,2025-07-11,Felix Film,"Adventure, Fantasy",6.1,1094.0,63.0,4.6,219.0,72.0,6.0,133,67,7.4,99.0,35.0,6.46,5097,64
70,"Kanojo, Okarishimasu 4th Season",Rent-a-Girlfriend Season 4,彼女、お借りします 第4期,-0.976,0.593,18515,5,9.2,TV,12.0,2025-07-05,TMS Entertainment,"Adult Cast, Comedy, Harem, Romance, Shounen",6.0,1430.0,65.0,3.5,249.0,76.0,8.4,224,9,6.8,10440.0,58.0,6.2,6172,69
71,Yami Shibai 15,Theatre of Darkness: Yamishibai 15,闇芝居 十五期,-0.988,0.171,1195,2,7.9,TV,,2025-07-14,ILCA,"Avant Garde, Horror, Supernatural",,,,5.0,9.0,65.0,6.0,13,68,7.0,1017.0,51.0,5.99,178,73
72,Binan Koukou Chikyuu Bouei-bu Haikara!,Cute High Earth Defense Club Hi-CARA!,美男高校地球防衛部ハイカラ！,-1.029,0.14,326,2,6.6,TV,12.0,2025-07-07,Studio Deen,"Comedy, Fantasy, Historical, Parody, School, Super Power",,,,4.8,12.0,70.0,6.6,36,58,7.1,149.0,48.0,5.98,177,74
73,9: Ruler's Crown,,9-nine- Ruler's Crown,-1.334,0.357,1641,4,5.3,TV,13.0,2025-07-05,PRA,"Mystery, Romance, School, Super Power",5.2,259.0,72.0,4.9,506.0,67.0,7.0,91,50,6.8,18.0,57.0,5.88,785,75
74,Watari-kun no xx ga Houkai Sunzen,Watari-kun's ****** Is about to Collapse,渡くんの××が崩壊寸前,-1.37,0.524,5901,5,3.9,TV,,2025-07-05,Staple Entertainment,"Comedy, Drama, Romance, School, Seinen",5.9,1055.0,67.0,4.8,246.0,69.0,5.0,56,74,5.7,120.0,71.0,6.38,4424,65
75,Hotel Inhumans,Hotel Inhumans,ホテル・インヒューマンズ,-1.494,0.627,32784,5,2.6,TV,13.0,2025-07-06,Bridge,"Action, Drama, Organized Crime",6.0,488.0,66.0,5.4,161.0,57.0,6.0,163,66,4.9,30182.0,73.0,6.52,1790,61
76,Kizu darake Seijo yori Houfuku wo Komete,"With Vengeance, Sincerely, Your Broken Saintess",傷だらけ聖女より報復をこめて,-1.749,0.342,1206,4,1.3,TV,6.0,2025-07-10,"Imagica Infos, Imageworks Studio","Fantasy, Romance",5.3,176.0,70.0,3.9,58.0,75.0,6.4,61,61,,,,5.59,911,76
