排名,标题,英文标题,日文标题,综合评分,置信度,总投票数,网站数量,百分位数,类型,集数,开播日期,制作公司,类型标签,anilist_评分,anilist_投票数,anilist_排名,bangumi_评分,bangumi_投票数,bangumi_排名,filmarks_评分,filmarks_投票数,filmarks_排名,imdb_评分,imdb_投票数,imdb_排名,mal_评分,mal_投票数,mal_排名
15,CITY THE ANIMATION,CITY THE ANIMATION,CITY THE ANIMATION,0.783,0.561,10902,5,81.6,TV,13.0,2025-07-07,"Kyoto Animation, Kyoto Animation, ABC Animation, Pony Canyon, Kodansha","Comedy, Slice of Life",7.7,1966.0,17.0,7.4,2394.0,10.0,7.8,575,29,7.7,165.0,22.0,7.83,5802,21
16,Clevatess: Majuu no Ou to Akago to Kabane no Yuusha,Clevatess,クレバテス-魔獣の王と赤子と屍の勇者,0.777,0.582,15548,5,80.3,TV,12.0,2025-07-02,"KADOKAWA, Lay-duce, Sammy, Crunchyroll, BS Nittele, Lay-duce, LINE Digital Frontier, AT-X, Culture Entertainment","Action, Drama, Fantasy",7.6,2314.0,20.0,6.9,764.0,25.0,8.0,205,20,8.1,577.0,13.0,7.91,11688,17
17,Clevatess: Majuu no Ou to Akago to Shikabane no Yuusha,Clevatess,クレバテス-魔獣の王と赤子と屍の勇者-,0.777,0.582,15548,5,78.9,TV,12.0,2025-07-02,Lay-duce,"Action, Fantasy",7.6,2314.0,21.0,6.9,764.0,26.0,8.0,205,21,8.1,577.0,14.0,7.91,11688,18
18,Gachiakuta,Gachiakuta,ガチアクタ,0.763,0.631,35181,5,77.6,TV,24.0,2025-07-06,"bones, Avex Pictures, bones film, Kodansha, DMM.com, CBC TV, Dentsu, Com2uS","Action, Drama, Fantasy",7.8,5613.0,14.0,5.8,367.0,44.0,8.0,891,24,8.3,2553.0,10.0,8.07,25757,13
19,Kaijuu 8-gou 2nd Season,Kaiju No. 8 Season 2,怪獣８号 第２期,0.76,0.643,42422,5,76.3,TV,11.0,2025-07-19,"Shueisha, Toho, Production I.G","Action, Sci-Fi",7.8,2999.0,15.0,5.8,319.0,46.0,8.2,877,19,8.3,24050.0,11.0,7.92,14177,16
20,Dr. STONE: SCIENCE FUTURE Part 2,Dr. STONE SCIENCE FUTURE Cour 2,Dr.STONE SCIENCE FUTURE 2クール,0.699,0.574,13611,5,75.0,TV,12.0,2025-07-10,"TMS Entertainment, Toho, TMS Entertainment, Shueisha","Action, Adventure, Comedy, Sci-Fi",8.0,2280.0,12.0,7.1,303.0,17.0,6.6,570,59,7.4,157.0,34.0,8.22,10301,11
21,Silent Witch: Chinmoku no Majo no Kakushigoto,Secrets of the Silent Witch,サイレント・ウィッチ 沈黙の魔女の隠しごと,0.652,0.589,17520,5,73.7,TV,13.0,2025-07-05,"Aniplex, KADOKAWA, Studio Gokumi, TOKYO MX, BS11, Movic","Adventure, Fantasy",7.7,2833.0,16.0,7.1,1856.0,16.0,7.8,554,27,7.0,304.0,49.0,7.99,11973,14
22,SAKAMOTO DAYS Part 2,SAKAMOTO DAYS Part 2,SAKAMOTO DAYS 第２クール,0.599,0.462,14366,4,72.4,ONA,11.0,2025-07-15,TMS Entertainment,"Action, Comedy",7.7,2322.0,18.0,6.0,247.0,40.0,8.0,773,26,7.3,16.0,39.0,7.88,11024,19
23,Nukitashi THE ANIMATION,Nukitashi THE ANIMATION,ぬきたし THE ANIMATION,0.528,0.66,56548,5,71.1,TV,11.0,2025-07-19,"KADOKAWA, Passione, Yostar, AT-X, Qruppo","Action, Comedy, Drama, Ecchi, Romance",6.8,900.0,39.0,7.9,2789.0,2.0,9.2,100,1,6.9,187.0,55.0,7.34,52572,32
24,Jibaku Shounen Hanako-kun 2 Part 2,Toilet-Bound Hanako-kun Season 2 Part 2,地縛少年花子くん２ 後編,0.447,0.534,7018,5,69.7,TV,,2025-07-06,"Lerche, TBS, Pony Canyon, Square Enix, Crunchyroll, Movic, Contents Seed, Studio Hibari","Action, Comedy, Drama, Mystery, Supernatural",7.5,627.0,22.0,6.1,316.0,37.0,7.8,131,28,7.5,3326.0,27.0,7.93,2618,15
25,"Tensei Shitara Dai Nana Ouji Dattanode, Kimamani Majutsu wo Kiwamemasu 2nd Season",I Was Reincarnated as the 7th Prince so I Can Take My Time Perfecting My Magical Ability Season 2,転生したら第七王子だったので、気ままに魔術を極めます 第2期,0.411,0.56,10816,5,68.4,TV,12.0,2025-07-10,"Tsumugi Akita Anime Lab, Bandai Namco Filmworks, Kodansha, Crunchyroll, TV Tokyo, Bandai Namco Music Live, ADK Marketing Solutions","Action, Adventure, Fantasy, Slice of Life",7.5,1582.0,23.0,7.0,424.0,23.0,8.2,312,17,6.8,2052.0,60.0,7.64,6446,26
26,"Tensei shitara Dainana Ouji Datta node, Kimama ni Majutsu wo Kiwamemasu 2nd Season",I Was Reincarnated as the 7th Prince so I Can Take My Time Perfecting My Magical Ability Season 2,転生したら第七王子だったので、気ままに魔術を極めます 第2期,0.411,0.56,10816,5,67.1,TV,,2025-07-10,Tsumugi Akita Animation Lab,"Adventure, Fantasy, Reincarnation",7.5,1582.0,24.0,7.0,424.0,24.0,8.2,312,18,6.8,2052.0,61.0,7.64,6446,27
27,Ame to Kimi to,With You and the Rain,雨と君と,0.381,0.522,5734,5,65.8,TV,12.0,2025-07-06,"Lesprit, NBCUniversal Entertainment Japan, BS Asahi, TV Asahi","Comedy, Slice of Life",7.1,895.0,31.0,6.9,530.0,27.0,7.6,451,35,7.8,102.0,20.0,7.45,3756,30
28,"Mikadono Sanshimai wa Angai, Choroi.",Dealing with Mikadono Sisters Is a Breeze,帝乃三姉妹は案外、チョロい。,0.299,0.539,7660,5,64.5,TV,12.0,2025-07-10,"Aniplex, P.A.WORKS, Mainichi Broadcasting System, SANKYO, JR Higashi Nihon Kikaku, Shogakukan, arma bianca, TOKYO MX, BS11, Movic","Comedy, Romance",7.3,1313.0,29.0,6.3,363.0,35.0,7.2,223,47,7.7,164.0,24.0,7.59,5597,28
29,Arknights: Enshin Shomei,Arknights: RISE FROM EMBER,アークナイツ 焔燼曙明,0.296,0.374,2307,4,63.2,TV,10.0,2025-07-04,"Yostar Pictures, Hypergryph, Yostar, Yostar Pictures","Action, Fantasy",7.3,440.0,27.0,6.3,202.0,33.0,3.4,43,76,7.1,50.0,44.0,7.7,1615,23
30,Arknights: Rise from Ember,Arknights: Rise from Ember,アークナイツ【焔燼曙明/RISE FROM EMBER】,0.296,0.374,2307,4,61.8,TV,10.0,2025-07-04,Yostar Pictures,"Action, Fantasy",7.3,440.0,28.0,6.3,202.0,34.0,3.4,43,77,7.1,50.0,46.0,7.7,1615,24
31,"Food Court de, Mata Ashita.",See You Tomorrow at the Food Court,フードコートで、また明日。,0.237,0.411,4996,4,60.5,TV,6.0,2025-07-07,"Atelier Pontdarc, KADOKAWA, Movic, BS Nittele, AT-X, TOKYO MX, Toy's Factory, Sun Television","Comedy, Slice of Life",6.8,868.0,37.0,7.2,1270.0,12.0,7.8,297,30,6.6,29.0,63.0,7.02,2561,42
32,"Watashi ga Koibito ni Nareru Wake Naijan, Murimuri! (※Muri ja Nakatta!?)",There's No Freaking Way I'll Be Your Lover! Unless...,わたしが恋人になれるわけないじゃん、ムリムリ! (※ムリじゃなかった!?),0.225,0.552,9413,5,59.2,TV,12.0,2025-07-08,"studio MOTHER, Shueisha DeNA Projects, Shueisha, REMOW","Comedy, Romance",7.4,1743.0,26.0,7.2,1955.0,13.0,8.2,220,16,8.1,109.0,17.0,6.16,5386,70
33,Ginga Tokkyuu Milky☆Subway,Milky☆Subway: The Galactic Limited Express,銀河特急 ミルキー☆サブウェイ,0.18,0.342,1193,4,57.9,,12.0,2025-07-03,"Shin-Ei Animation, qooop","Adventure, Comedy, Fantasy, Sci-Fi",6.5,207.0,44.0,6.7,146.0,29.0,8.8,221,3,8.2,15.0,12.0,6.92,619,46
34,Tate no Yuusha no Nariagari Season 4,The Rising of the Shield Hero Season 4,盾の勇者の成り上がり Season 4,0.146,0.624,31063,5,56.6,TV,12.0,2025-07-09,"KADOKAWA, Kinema Citrus, Crunchyroll, Sammy, Nippon Columbia, NTT Docomo, Good Smile Company, AT-X, Frontier Works","Action, Adventure, Fantasy",7.1,1835.0,32.0,5.5,199.0,54.0,7.8,201,31,7.7,21104.0,23.0,7.34,7724,31
35,Fei Ren Zai 3rd Season,Non-Human,非人哉 第三季,0.145,0.432,7763,4,55.3,ONA,12.0,2025-07-22,,"Comedy, Mythology, Supernatural",6.2,123.0,58.0,7.1,21.0,18.0,6.8,373,54,8.5,6099.0,8.0,7.16,1168,38
