排名,中文名,日文名,英文名,综合评分,海报图片,横幅图片,ANILIST_评分,ANILIST_投票数,ANILIST_排名,BANGUMI_评分,BANGUMI_投票数,BANGUMI_排名,DOUBAN_评分,DOUBAN_投票数,DOUBAN_排名,FILMARKS_评分,FILMARKS_投票数,FILMARKS_排名,IMDB_评分,IMDB_投票数,IMDB_排名,MAL_评分,MAL_投票数,MAL_排名
15,胆大党 第二季,ダンダダン 第2期,DAN DA DAN Season 2,0.785,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx185660-uB8RUMBGovGr.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/banner/185660-NdXFgzcYmcDz.jpg,8.3,9949,5,7.3,1925,12,6.8,2463,27,8.2,2462,14,7.1,1598,37,8.52,46428,7
16,石纪元 科学与未来 第2部分,Dr.STONE SCIENCE FUTURE 2クール,Dr. STONE SCIENCE FUTURE Cour 2,0.782,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx189117-EJQHOFjLoK2k.png,,8.0,2799,12,7.1,367,16,8.5,350,9,7.0,703,50,7.4,157,32,8.22,12718,11
17,咔嗒咔嗒,ガチアクタ,Gachiakuta,0.705,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx178025-cWJKEsZynkil.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/banner/178025-KH3NSrRChfGy.jpg,7.8,6168,15,5.8,415,43,,,,7.8,1103,30,8.2,3179,10,8.05,31742,13
18,Silent Witch 沉默魔女的秘密,サイレント・ウィッチ 沈黙の魔女の隠しごと,Secrets of the Silent Witch,0.701,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx179966-g0EU7rVe2Og7.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/banner/179966-hf71VrF1zhPM.jpg,7.8,3459,14,7.0,2190,18,,,,7.8,699,29,7.1,407,38,8.02,15081,14
19,克雷瓦提斯-魔兽之王与婴儿与尸之勇者-,クレバテス-魔獣の王と赤子と屍の勇者,Clevatess,0.689,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx178869-qiEz0gQD8H5N.png,https://s4.anilist.co/file/anilistcdn/media/anime/banner/178869-ZFn0hKphaLtk.jpg,7.6,2655,20,6.9,901,21,8.0,482,17,8.0,231,19,8.0,794,14,7.88,14308,20
20,克雷瓦提斯-魔兽之王与婴儿与尸之勇者-,クレバテス-魔獣の王と赤子と屍の勇者-,Clevatess,0.689,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx178869-qiEz0gQD8H5N.png,https://s4.anilist.co/file/anilistcdn/media/anime/banner/178869-ZFn0hKphaLtk.jpg,7.6,2655,21,6.9,901,22,8.0,482,18,8.0,231,20,8.0,794,15,7.88,14308,21
21,怪兽8号 第二季,怪獣８号 第２期,Kaiju No. 8 Season 2,0.538,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx178754-Dgrub8xgC03M.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/banner/178754-pzQw3EJ0DYO9.jpg,7.8,4090,17,5.7,415,46,7.2,1362,25,8.0,1242,27,8.3,24770,8,7.92,20095,17
22,坂本日常 第2部分,SAKAMOTO DAYS 第２クール,SAKAMOTO DAYS Part 2,0.514,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx184237-OJAksU2fsIPx.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/banner/184237-SBj6UJvIWAOg.jpg,7.7,3053,19,6.0,320,39,7.9,522,20,7.8,1038,36,6.8,15,56,7.91,14896,18
23,云深不知梦,云深不知梦,Eclipse of Illusion,0.462,,,,,,7.1,12,15,,,,8.0,2349,22,7.8,1255,19,7.21,114,37
24,放学后少年花子君 续篇,地縛少年花子くん２ 後編,Toilet-Bound Hanako-kun Season 2 Part 2,0.461,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx189326-kaYdWFxyyYdx.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/banner/189326-QgANtHkolp8i.jpg,7.6,752,22,6.1,319,38,7.8,374,21,7.8,160,31,7.5,3393,27,7.97,3154,15
25,明天，美食广场见。,フードコートで、また明日。,See You Tomorrow at the Food Court,0.454,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx185519-cuRKYBlZ3uWw.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/banner/185519-WRtGn9JOriG8.jpg,7.3,2515,30,7.4,2875,11,7.7,564,22,7.8,497,33,7.0,63,46,7.54,6494,31
