排名,标题,英文标题,日文标题,综合评分,置信度,总投票数,网站数量,百分位数,类型,集数,开播日期,制作公司,类型标签,anilist_评分,anilist_投票数,anilist_排名,bangumi_评分,bangumi_投票数,bangumi_排名,douban_评分,douban_投票数,douban_排名,filmarks_评分,filmarks_投票数,filmarks_排名,imdb_评分,imdb_投票数,imdb_排名,mal_评分,mal_投票数,mal_排名
61,Koujo Denka no Kateikyoushi,Private Tutor to the Duke's Daughter,公女殿下の家庭教師,-0.739,0.535,7062,5,23.1,TV,12.0,2025-07-06,Studio Blanc.,Fantasy,6.2,1219.0,58.0,5.8,588.0,44.0,,,,5.8,118,72,6.6,132.0,58.0,6.54,5005,59
62,Turkey!,Turkey! Time to Strike,Turkey!,-0.805,0.396,3628,4,21.8,TV,12.0,2025-07-09,Bakken Record,"Historical, Sports, Time Travel",5.8,648.0,68.0,5.5,886.0,50.0,,,,7.6,213,40,6.2,35.0,65.0,6.15,1881,73
63,Tsuyokute New Saga,New Saga,強くてニューサーガ,-0.821,0.538,7463,5,20.5,TV,12.0,2025-07-03,"ABC Animation, Sotsu, Studio Massket, Studio Clutch, AlphaPolis, ANICI, Sotsu, Bandai Namco Music Live, Bushiroad, Pia, KLOCKWORX, TOKYO MX, Exa International, Toei Video","Adventure, Fantasy",6.3,1277.0,51.0,5.4,205.0,53.0,,,,5.4,102,74,6.4,198.0,60.0,6.67,5681,54
64,Futari Solo Camp,Solo Camping for Two,ふたりソロキャンプ,-0.826,0.503,4162,5,19.2,TV,24.0,2025-07-11,"SynergySP, Pony Canyon, Kodansha, Crunchyroll, BS Asahi",Slice of Life,6.1,852.0,61.0,5.5,207.0,51.0,,,,6.2,149,66,6.3,51.0,63.0,6.53,2903,62
65,Busu ni Hanataba wo.,April Showers Bring May Flowers,ブスに花束を。,-0.832,0.495,3640,5,17.9,TV,13.0,2025-07-04,"SILVER LINK., Mainichi Broadcasting System, VAP, Marvelous, SILVER LINK., BS Nittele, TOKYO MX","Comedy, Romance",6.3,602.0,53.0,5.2,199.0,59.0,5.9,211.0,33.0,6.6,231,57,7.2,36.0,35.0,6.73,2397,53
66,Cardfight!! Vanguard: Divinez Deluxe Kesshou-hen,CARDFIGHT!! VANGUARD Divinez DELUXE Finals,カードファイト!! ヴァンガード Divinez デラックス決勝編,-0.845,0.056,103,1,16.7,TV,,2025-07-05,"Kinema Citrus, GIFTanimation, Studio Jemi","Action, Strategy Game",,,,,,,,,,2.0,3,78,5.9,19.0,69.0,6.53,103,61
67,Hotel Inhumans,Hotel Inhumans,ホテル・インヒューマンズ,-0.859,0.484,3040,5,15.4,TV,13.0,2025-07-06,Bridge,"Action, Drama, Organized Crime",6.0,561.0,64.0,5.3,181.0,58.0,,,,6.0,184,69,6.8,65.0,51.0,6.5,2049,63
68,Jidou Hanbaiki ni Umarekawatta Ore wa Meikyuu wo Samayou 2nd Season,"Reborn as a Vending Machine, I Now Wander the Dungeon Season 2",自動販売機に生まれ変わった俺は迷宮を彷徨う 2nd Season,-0.864,0.529,6429,5,14.1,TV,12.0,2025-07-02,"Studio Gokumi, AXsiZ, Nippon Television Network, Yomiuri TV Enterprise, ANICI, Docomo Anime Store, VAP, Nittele Wands, BS Nittele","Adventure, Comedy, Fantasy",6.2,993.0,56.0,5.0,145.0,62.0,,,,6.6,119,56,6.2,1076.0,64.0,6.53,4096,60
69,Binan Koukou Chikyuu Bouei-bu Haikara!,Cute High Earth Defense Club Hi-CARA!,美男高校地球防衛部ハイカラ！,-0.875,0.142,352,2,12.8,TV,12.0,2025-07-07,Studio Deen,"Comedy, Fantasy, Historical, Parody, School, Super Power",,,,5.2,14.0,60.0,,,,6.6,42,58,7.1,150.0,42.0,6.02,202,75
70,Koisuru One Piece Zenyasai Tokubetsu-hen,One Piece in Love Festival Eve Special,恋するワンピース前夜祭特別編,-0.879,0.261,1359,3,11.5,ONA,1.0,2025-08-09,Toei Animation,"Comedy, Parody, Romance, Shounen",5.7,117.0,69.0,,,,,,,7.0,951,54,,,,6.23,291,69
71,"Kanojo, Okarishimasu 4th Season",Rent-a-Girlfriend Season 4,彼女、お借りします 第4期,-0.914,0.597,19802,5,10.3,TV,12.0,2025-07-05,TMS Entertainment,"Adult Cast, Comedy, Harem, Romance, Shounen",6.0,1610.0,63.0,3.5,293.0,75.0,,,,8.4,249,9,6.8,10576.0,50.0,6.16,7074,72
72,Busamen Gachi Fighter,"Uglymug, Epicfighter",ブサメンガチファイター,-0.982,0.639,6781,6,9.0,TV,12.0,2025-07-06,"WHITE FOX, Nippon Columbia, bilibili, VAP, KLOCKWORX, EGG FIRM","Adventure, Fantasy",6.1,976.0,59.0,5.6,520.0,47.0,5.7,260.0,34.0,6.2,143,64,6.4,123.0,61.0,6.39,4759,64
73,Nyaight of the Living Cat,Nyaight of the Living Cat,ニャイト・オブ・ザ・リビングキャット,-1.043,0.606,4306,6,7.7,TV,12.0,2025-07-08,OLM,"Action, Horror, Shounen, Survival, Suspense",6.0,659.0,65.0,5.0,236.0,63.0,6.0,218.0,32.0,6.6,230,59,6.4,158.0,62.0,6.26,2805,68
74,"Yuusha Party wo Tsuihou sareta Shiromadoushi, S-Rank Boukensha ni Hirowareru: Kono Shiromadoushi ga Kikakugai Sugiru",Scooped Up by an S-Ranked Adventurer,勇者パーティーを追放された白魔導師、Sランク冒険者に拾われる ～この白魔導師が規格外すぎる～,-1.112,0.543,8060,5,6.4,TV,12.0,2025-07-11,Felix Film,"Adventure, Fantasy",6.1,1323.0,62.0,4.5,253.0,72.0,,,,6.0,166,70,6.1,128.0,67.0,6.36,6190,66
75,"Yuusha Party wo Tsuihou Sareta Shiro Madoushi, S Rank Boukensha ni Hirowareru: Kono Shiro Madoushi ga Kikakugaisugiru",Scooped Up by an S-Rank Adventurer!,勇者パーティーを追放された白魔導師、Sランク冒険者に拾われる ～この白魔導師が規格外すぎる～,-1.112,0.543,8058,5,5.1,ONA,,2025-07-06,"Felix Film, Yomiuri TV Enterprise, Futabasha, Happinet Media Marketing, Docomo Anime Store, Bandai Namco Music Live, JIN, BS Fuji, Jinnan Studio, Ray","Action, Adventure, Fantasy",6.1,1323.0,60.0,4.5,253.0,71.0,,,,6.0,166,68,6.1,128.0,66.0,6.36,6188,65
76,Watari-kun no xx ga Houkai Sunzen,Watari-kun's ****** Is about to Collapse,渡くんの××が崩壊寸前,-1.271,0.532,6720,5,3.8,TV,13.0,2025-07-05,Staple Entertainment,"Comedy, Drama, Romance, School, Seinen",5.9,1192.0,66.0,4.7,273.0,70.0,,,,5.2,62,75,5.8,151.0,70.0,6.34,5042,67
77,9: Ruler's Crown,,9-nine- Ruler's Crown,-1.336,0.362,1807,4,2.6,TV,13.0,2025-07-05,PRA,"Mystery, Romance, School, Super Power",5.3,284.0,71.0,4.8,545.0,67.0,,,,7.0,99,48,6.8,21.0,49.0,5.8,879,78
78,Kizu darake Seijo yori Houfuku wo Komete,"With Vengeance, Sincerely, Your Broken Saintess",傷だらけ聖女より報復をこめて,-1.595,0.364,1894,4,1.3,TV,,2025-07-10,"Imagica Infos, Imageworks Studio","Fantasy, Romance",5.4,243.0,70.0,4.0,71.0,73.0,,,,6.2,73,65,3.6,5.0,74.0,5.83,1507,77
