排名,标题,英文标题,日文标题,综合评分,置信度,总投票数,网站数量,百分位数,类型,集数,开播日期,制作公司,类型标签,anilist_评分,anilist_投票数,anilist_排名,bangumi_评分,bangumi_投票数,bangumi_排名,douban_评分,douban_投票数,douban_排名,filmarks_评分,filmarks_投票数,filmarks_排名,imdb_评分,imdb_投票数,imdb_排名,mal_评分,mal_投票数,mal_排名
15,Dandadan 2nd Season,DAN DA DAN Season 2,ダンダダン 第2期,0.785,0.802,64825,6,82.1,TV,12.0,2025-07-04,"Science SARU, Mainichi Broadcasting System, Science SARU, Shueisha, Dentsu, Aniplex, Shogakukan-Shueisha Productions","Action, Comedy, Drama, Romance, Sci-Fi, Supernatural",8.3,9949.0,5.0,7.3,1925.0,12.0,6.8,2463.0,27.0,8.2,2462,14,7.1,1598.0,37.0,8.52,46428,7
16,Dr. STONE: SCIENCE FUTURE Part 2,Dr. STONE SCIENCE FUTURE Cour 2,Dr.STONE SCIENCE FUTURE 2クール,0.782,0.705,17094,6,80.8,TV,12.0,2025-07-10,"TMS Entertainment, Toho, TMS Entertainment, Shueisha","Action, Adventure, Comedy, Sci-Fi",8.0,2799.0,12.0,7.1,367.0,16.0,8.5,350.0,9.0,7.0,703,50,7.4,157.0,32.0,8.22,12718,11
17,Gachiakuta,Gachiakuta,ガチアクタ,0.705,0.643,42607,5,79.5,TV,24.0,2025-07-06,"bones, Avex Pictures, bones film, Kodansha, DMM.com, CBC TV, Dentsu, Com2uS","Action, Drama, Fantasy",7.8,6168.0,15.0,5.8,415.0,43.0,,,,7.8,1103,30,8.2,3179.0,10.0,8.05,31742,13
18,Silent Witch: Chinmoku no Majo no Kakushigoto,Secrets of the Silent Witch,サイレント・ウィッチ 沈黙の魔女の隠しごと,0.701,0.603,21836,5,78.2,TV,13.0,2025-07-05,"Aniplex, KADOKAWA, Studio Gokumi, TOKYO MX, BS11, Movic","Adventure, Fantasy",7.8,3459.0,14.0,7.0,2190.0,18.0,,,,7.8,699,29,7.1,407.0,38.0,8.02,15081,14
19,Clevatess: Majuu no Ou to Akago to Kabane no Yuusha,Clevatess,クレバテス-魔獣の王と赤子と屍の勇者,0.689,0.715,19371,6,76.9,TV,12.0,2025-07-02,"KADOKAWA, Lay-duce, Sammy, Crunchyroll, BS Nittele, Lay-duce, LINE Digital Frontier, AT-X, Culture Entertainment","Action, Drama, Fantasy",7.6,2655.0,20.0,6.9,901.0,21.0,8.0,482.0,17.0,8.0,231,19,8.0,794.0,14.0,7.88,14308,20
20,Clevatess: Majuu no Ou to Akago to Shikabane no Yuusha,Clevatess,クレバテス-魔獣の王と赤子と屍の勇者-,0.689,0.715,19371,6,75.6,TV,12.0,2025-07-02,Lay-duce,"Action, Fantasy",7.6,2655.0,21.0,6.9,901.0,22.0,8.0,482.0,18.0,8.0,231,20,8.0,794.0,15.0,7.88,14308,21
21,Kaijuu 8-gou 2nd Season,Kaiju No. 8 Season 2,怪獣８号 第２期,0.538,0.786,51974,6,74.4,TV,11.0,2025-07-19,"Shueisha, Toho, Production I.G","Action, Sci-Fi",7.8,4090.0,17.0,5.7,415.0,46.0,7.2,1362.0,25.0,8.0,1242,27,8.3,24770.0,8.0,7.92,20095,17
22,SAKAMOTO DAYS Part 2,SAKAMOTO DAYS Part 2,SAKAMOTO DAYS 第２クール,0.514,0.597,19829,5,73.1,ONA,11.0,2025-07-15,TMS Entertainment,"Action, Comedy",7.7,3053.0,19.0,6.0,320.0,39.0,7.9,522.0,20.0,7.8,1038,36,6.8,15.0,56.0,7.91,14896,18
23,Yun Shen Buzhi Meng,Eclipse of Illusion,云深不知梦,0.462,0.298,3718,3,71.8,ONA,26.0,2025-07-05,Yien Animation Studio,"Fantasy, Historical",,,,7.1,12.0,15.0,,,,8.0,2349,22,7.8,1255.0,19.0,7.21,114,37
24,Jibaku Shounen Hanako-kun 2 Part 2,Toilet-Bound Hanako-kun Season 2 Part 2,地縛少年花子くん２ 後編,0.461,0.652,8152,6,70.5,TV,,2025-07-06,"Lerche, TBS, Pony Canyon, Square Enix, Crunchyroll, Movic, Contents Seed, Studio Hibari","Action, Comedy, Drama, Mystery, Supernatural",7.6,752.0,22.0,6.1,319.0,38.0,7.8,374.0,21.0,7.8,160,31,7.5,3393.0,27.0,7.97,3154,15
25,"Food Court de, Mata Ashita.",See You Tomorrow at the Food Court,フードコートで、また明日。,0.454,0.686,13008,6,69.2,TV,6.0,2025-07-07,"Atelier Pontdarc, KADOKAWA, Movic, BS Nittele, AT-X, TOKYO MX, Toy's Factory, Sun Television","Comedy, Slice of Life",7.3,2515.0,30.0,7.4,2875.0,11.0,7.7,564.0,22.0,7.8,497,33,7.0,63.0,46.0,7.54,6494,31
26,"Tensei shitara Dainana Ouji Datta node, Kimama ni Majutsu wo Kiwamemasu 2nd Season",I Was Reincarnated as the 7th Prince so I Can Take My Time Perfecting My Magical Ability Season 2,転生したら第七王子だったので、気ままに魔術を極めます 第2期,0.408,0.572,13066,5,67.9,TV,12.0,2025-07-10,Tsumugi Akita Animation Lab,"Adventure, Fantasy, Reincarnation",7.5,1953.0,25.0,6.9,526.0,27.0,,,,8.0,396,26,6.8,2129.0,54.0,7.61,8062,30
27,"Tensei Shitara Dai Nana Ouji Dattanode, Kimamani Majutsu wo Kiwamemasu 2nd Season",I Was Reincarnated as the 7th Prince so I Can Take My Time Perfecting My Magical Ability Season 2,転生したら第七王子だったので、気ままに魔術を極めます 第2期,0.408,0.572,13065,5,66.7,TV,12.0,2025-07-10,"Tsumugi Akita Anime Lab, Bandai Namco Filmworks, Kodansha, Crunchyroll, TV Tokyo, Bandai Namco Music Live, ADK Marketing Solutions","Action, Adventure, Fantasy, Slice of Life",7.5,1953.0,24.0,6.9,526.0,26.0,,,,8.0,396,25,6.8,2129.0,53.0,7.61,8061,29
28,Nukitashi THE ANIMATION,Nukitashi THE ANIMATION,ぬきたし THE ANIMATION,0.398,0.795,58579,6,65.4,TV,11.0,2025-07-19,"KADOKAWA, Passione, Yostar, AT-X, Qruppo","Action, Comedy, Drama, Ecchi, Romance",6.8,1101.0,39.0,7.8,3406.0,4.0,7.6,1112.0,24.0,8.8,111,4,6.9,259.0,48.0,7.33,52590,33
29,"Mikadono Sanshimai wa Angai, Choroi.",Dealing with Mikadono Sisters Is a Breeze,帝乃三姉妹は案外、チョロい。,0.365,0.554,9756,5,64.1,TV,12.0,2025-07-10,"Aniplex, P.A.WORKS, Mainichi Broadcasting System, SANKYO, JR Higashi Nihon Kikaku, Shogakukan, arma bianca, TOKYO MX, BS11, Movic","Comedy, Romance",7.4,1720.0,27.0,6.5,462.0,34.0,,,,7.0,271,51,7.7,223.0,24.0,7.63,7080,27
30,Ame to Kimi to,With You and the Rain,雨と君と,0.346,0.642,7158,6,62.8,TV,12.0,2025-07-06,"Lesprit, NBCUniversal Entertainment Japan, BS Asahi, TV Asahi","Comedy, Slice of Life",7.1,1038.0,32.0,6.9,611.0,23.0,8.1,482.0,14.0,7.8,536,32,7.1,132.0,39.0,7.45,4359,32
31,Karaoke Iko!,Let's Go Karaoke!,カラオケ行こ！,0.339,0.656,53014,5,61.5,TV,5.0,2025-07-24,"Doga Kobo, KADOKAWA","Comedy, Music",7.0,374.0,34.0,6.7,104.0,32.0,7.7,50387.0,23.0,8.2,691,18,8.2,39.0,11.0,7.62,1458,28
32,Ginga Tokkyuu Milky☆Subway,Milky☆Subway: The Galactic Limited Express,銀河特急 ミルキー☆サブウェイ,0.312,0.354,1538,4,60.3,,12.0,2025-07-03,"Shin-Ei Animation, qooop","Adventure, Comedy, Fantasy, Sci-Fi",6.7,261.0,41.0,6.8,168.0,29.0,,,,8.8,348,2,8.1,25.0,12.0,7.08,761,42
33,"Watashi ga Koibito ni Nareru Wake Naijan, Murimuri! (※Muri ja Nakatta!?)",There's No Freaking Way I'll Be Your Lover! Unless...,わたしが恋人になれるわけないじゃん、ムリムリ! (※ムリじゃなかった!?),0.251,0.675,11210,6,59.0,TV,12.0,2025-07-08,"studio MOTHER, Shueisha DeNA Projects, Shueisha, REMOW","Comedy, Romance",7.4,2082.0,26.0,7.2,2401.0,13.0,8.4,917.0,11.0,8.2,251,17,7.4,143.0,30.0,6.17,5416,71
34,Tate no Yuusha no Nariagari Season 4,The Rising of the Shield Hero Season 4,盾の勇者の成り上がり Season 4,0.105,0.628,33266,5,57.7,TV,12.0,2025-07-09,"KADOKAWA, Kinema Citrus, Crunchyroll, Sammy, Nippon Columbia, NTT Docomo, Good Smile Company, AT-X, Frontier Works","Action, Adventure, Fantasy",7.0,2129.0,33.0,5.4,236.0,56.0,,,,7.8,229,34,7.7,21268.0,23.0,7.25,9404,34
35,Douluo Dalu: Jiandao Chen Xin,,斗罗大陆剧场版 剑道尘心,0.069,0.134,259,2,56.4,ONA,1.0,2025-07-12,Sparkly Key Animation Studio,"Action, Adventure, Fantasy, Historical, Martial Arts",,,,5.5,22.0,52.0,,,,7.4,103,45,,,,7.23,156,36
36,Shin Kidou Senki Gundam Wing: Operation 30th,Mobile Suit Gundam Wing 30th Anniversary Video: Operation 30th,【30周年記念映像】新機動戦記ガンダムW-operation30th-,0.052,0.268,1637,3,55.1,,1.0,2025-07-25,Sunrise,"Action, Mecha, Music, Sci-Fi",7.0,235.0,35.0,,,,,,,7.8,1248,37,,,,6.85,154,48
37,Jigoku Sensei Nube (2025),Hell Teacher: Jigoku Sensei Nube,地獄先生ぬ～べ～,0.043,0.311,5460,3,53.8,TV,,2025-07-02,Studio Kai,"Comedy, Horror, Mythology, School, Shounen, Supernatural",7.2,1037.0,31.0,6.8,23.0,28.0,,,,8.0,2413,21,7.4,49.0,28.0,6.66,2010,55
38,Bad Girl,Bad Girl,ばっどがーる,0.017,0.592,18246,5,52.6,ONA,12.0,2025-07-06,"Bridge, King Records","Comedy, Romance",6.6,911.0,45.0,6.7,1141.0,31.0,7.9,13174.0,19.0,7.6,192,38,7.1,40.0,41.0,6.78,2828,49
39,Tsuihousha Shokudou e Youkoso!,Welcome to the Outcast's Restaurant!,追放者食堂へようこそ！,-0.025,0.537,7410,5,51.3,TV,12.0,2025-07-04,"Avex Pictures, OLM, AT-X, OVERLAP, BS11, CBC TV, HIKE, TOKYO MX, OLM, Bit Grooove Promotion, KLOCKWORX, MAGNET","Adventure, Comedy, Fantasy, Slice of Life",6.7,1172.0,42.0,5.8,485.0,42.0,,,,7.4,273,42,7.9,102.0,16.0,7.18,5378,40
40,Puniru wa Kawaii Slime 2nd Season,Puniru is a Kawaii Slime Season 2,ぷにるはかわいいスライム 第2期,-0.096,0.441,1505,5,50.0,TV,12.0,2025-07-06,"TOHO animation STUDIO, Toho, TV Tokyo, Shogakukan, Shogakukan-Shueisha Productions","Comedy, Fantasy, Romance, Slice of Life",6.2,169.0,57.0,7.4,644.0,10.0,,,,8.4,52,10,5.4,114.0,73.0,6.99,526,43
41,Long Zu II: Daowangzhe Zhi Tong,Dragon Raja II -The Mourner's Eyes-,龙族Ⅱ：悼亡者之瞳,-0.13,0.747,30386,6,48.7,ONA,24.0,2025-07-18,GARDEN Culture,"Adventure, Fantasy",6.6,149.0,48.0,4.0,68.0,74.0,8.1,27362.0,15.0,5.8,281,73,7.7,1993.0,25.0,7.64,533,26
42,GaCen Shoujo to Ibunka Kouryuu,Cultural Exchange with a Game Centre Girl,ゲーセン少女と異文化交流,-0.153,0.636,6568,6,47.4,TV,12.0,2025-07-06,"Nomad, KADOKAWA, Taito, NTT Docomo, BS Asahi, AT-X","Comedy, Romance",6.4,943.0,49.0,6.9,1526.0,24.0,6.6,173.0,30.0,7.4,147,43,7.8,89.0,20.0,6.76,3690,51
43,Game Center Shoujo to Ibunka Kouryuu,Cultural Exchange With a Game Centre Girl,ゲーセン少女と異文化交流,-0.153,0.636,6568,6,46.2,TV,12.0,2025-07-06,Nomad,"Comedy, Love Status Quo, Romance",6.4,943.0,50.0,6.9,1526.0,25.0,6.6,173.0,31.0,7.4,147,44,7.8,89.0,21.0,6.76,3690,52
44,Utagoe wa Mille-Feuille,Harmony of Mille-Feuille,うたごえはミルフィーユ,-0.224,0.794,524265,5,44.9,TV,10.0,2025-07-17,Jumondou,"Music, School",5.3,130.0,72.0,5.4,344.0,57.0,,,,7.0,80,53,8.5,523328.0,6.0,6.07,383,74
45,Mattaku Saikin no Tantei to Kitara,Detectives These Days Are Crazy!,まったく最近の探偵ときたら,-0.264,0.646,7504,6,43.6,TV,12.0,2025-07-01,"KADOKAWA, LIDENFILMS, Ultra Super Pictures, BS11, AT-X, Culture Entertainment","Comedy, Mystery",6.7,1151.0,40.0,6.5,845.0,33.0,6.7,303.0,29.0,7.4,247,41,6.0,153.0,68.0,7.14,4805,41
46,Arknights: Enshin Shomei,Arknights: RISE FROM EMBER,アークナイツ 焔燼曙明,-0.347,0.476,2687,5,42.3,TV,10.0,2025-07-04,"Yostar Pictures, Hypergryph, Yostar, Yostar Pictures","Action, Fantasy",7.3,495.0,28.0,6.3,228.0,35.0,,,,3.6,50,76,5.5,75.0,71.0,7.68,1839,24
47,Arknights: Rise from Ember,Arknights: Rise from Ember,アークナイツ【焔燼曙明/RISE FROM EMBER】,-0.347,0.476,2687,5,41.0,TV,10.0,2025-07-04,Yostar Pictures,"Action, Fantasy",7.3,495.0,29.0,6.3,228.0,36.0,,,,3.6,50,77,5.5,75.0,72.0,7.68,1839,25
48,Zutaboro Reijou wa Ane no Moto Konyakusha ni Dekiai Sareru,Betrothed to My Sister's Ex,ずたぼろ令嬢は姉の元婚約者に溺愛される,-0.352,0.523,5816,5,39.7,TV,12.0,2025-07-05,"LandQ studios, Mainichi Broadcasting System, TBS","Drama, Fantasy, Romance",6.9,951.0,36.0,4.7,88.0,69.0,,,,6.4,170,63,7.0,118.0,45.0,7.24,4489,35
49,Isekai Mokushiroku Mynoghra: Hametsu no Bunmei de Hajimeru Sekai Seifuku,Apocalypse Bringer Mynoghra: World Conquest Starts with the Civilization of Ruin,異世界黙示録マイノグーラ ～破滅の文明で始める世界征服～,-0.422,0.562,11038,5,38.5,TV,12.0,2025-07-06,"Maho Film, Happinet Media Marketing, Maho Film, Asmik Ace, Micro Magazine Sha, arma bianca, Bandai Namco Music Live, BS Nittele, KLOCKWORX","Action, Adventure, Comedy, Drama, Fantasy, Romance",6.7,1791.0,43.0,5.5,290.0,48.0,,,,6.0,94,67,7.1,218.0,40.0,6.94,8645,45
50,Kakkou no Iinazuke Season 2,A Couple of Cuckoos Season 2,カッコウの許嫁 Season2,-0.442,0.543,8135,5,37.2,TV,12.0,2025-07-08,"KADOKAWA, Okuruto Noboru, Kodansha, Crunchyroll, BS Nittele, Bit Grooove Promotion, Okuruto Noboru","Comedy, Romance",6.6,999.0,46.0,5.1,166.0,61.0,,,,7.0,170,49,6.8,2415.0,52.0,6.94,4385,46
51,Leviathan,Leviathan,リヴァイアサン,-0.459,0.593,3610,6,35.9,ONA,12.0,2025-07-10,"Orange, Qubic Pictures","Adventure, Mecha, Sci-Fi",6.6,607.0,47.0,4.9,67.0,64.0,6.8,240.0,28.0,7.8,182,35,6.6,486.0,59.0,6.9,2028,47
52,Mizu Zokusei no Mahou Tsukai,The Water Magician,水属性の魔法使い,-0.517,0.711,18418,6,34.6,TV,12.0,2025-07-04,"TYPHOON GRAPHICS, Wonderland, TBS, Crunchyroll, TO Books, Universal Music, BS11, TYPHOON GRAPHICS, KLOCKWORX","Action, Adventure, Fantasy",6.8,3055.0,37.0,5.4,555.0,54.0,5.6,223.0,36.0,6.4,237,60,7.0,431.0,43.0,7.19,13917,38
53,Mizu Zokusei no Mahoutsukai,The Water Magician,水属性の魔法使い,-0.517,0.711,18418,6,33.3,TV,,2025-07-04,"Typhoon Graphics, WonderLand","Adult Cast, Adventure, Fantasy, Isekai, Reincarnation",6.8,3055.0,38.0,5.4,555.0,55.0,5.6,223.0,37.0,6.4,237,62,7.0,431.0,44.0,7.19,13917,39
54,Dekin no Mogura,Dekin no Mogura: The Earthbound Mole,出禁のモグラ,-0.542,0.583,3163,6,32.1,TV,12.0,2025-07-07,Brain's Base,"Comedy, Mystery, Seinen, Supernatural",5.8,498.0,67.0,5.9,222.0,40.0,7.0,195.0,26.0,8.0,385,24,7.3,63.0,33.0,6.17,1800,70
55,Osomatsu-san 4th Season,Mr. Osomatsu 4th Season,おそ松さん 第4期,-0.588,0.344,1258,4,30.8,TV,13.0,2025-07-09,Pierrot Films,"Adult Cast, Comedy, Gag Humor, Parody",4.8,63.0,73.0,5.5,37.0,49.0,,,,7.6,269,39,7.4,509.0,31.0,6.58,417,57
56,Tougen Anki,TOUGEN ANKI,桃源暗鬼,-0.588,0.684,12629,6,29.5,TV,24.0,2025-07-11,"Pony Canyon, Studio Hibari, Dentsu, Nippon Television Network, Akita Shoten, Studio Hibari","Action, Mystery, Supernatural",6.7,1994.0,44.0,4.9,150.0,65.0,5.7,236.0,35.0,7.2,687,46,6.8,622.0,55.0,6.97,8940,44
57,Fermat no Ryouri,Fermat Kitchen,フェルマーの料理,-0.597,0.48,2840,5,28.2,TV,12.0,2025-07-05,"SKY Perfect Pictures, TV Asahi, domerica","Drama, Slice of Life",6.3,426.0,54.0,4.8,227.0,66.0,,,,7.0,173,47,7.2,347.0,36.0,6.66,1667,56
58,SUGAR SUGAR RUNE: Les deux sorcières,Sugar Sugar Rune: Les deux sorcières,SUGAR SUGAR RUNE: Les deux sorcières,-0.631,0.148,458,2,26.9,Special,1.0,2025-07-04,Studio Khara,"Fantasy, Mahou Shoujo",6.3,143.0,52.0,5.7,22.0,45.0,,,,6.4,3,61,,,,6.77,315,50
59,Yami Shibai 15,Theatre of Darkness: Yamishibai 15,闇芝居 十五期,-0.643,0.266,1543,3,25.6,TV,,2025-07-14,ILCA,"Avant Garde, Horror, Supernatural",,,,4.8,12.0,68.0,,,,7.0,315,52,7.0,1024.0,47.0,5.95,204,76
60,Koujo Denka no Katei Kyoushi,Private Tutor to the Duke's Daughter,公女殿下の家庭教師,-0.739,0.535,7062,5,24.4,ONA,12.0,2025-06-29,"Studio Blanc, King Records, Bit Grooove Promotion","Drama, Fantasy, Romance",6.2,1219.0,55.0,5.8,588.0,41.0,,,,5.8,118,71,6.6,132.0,57.0,6.54,5005,58
